"Scientific";"GBIF";"Sci_litt";"NCBI";"Wiki_views";"Wiki_verna";"Flickr"
"Chaetodon lineolatus";0,573216782534555;0,240315062108519;0,26516802207949;0,6873141145153;0;0,577062545945085
"Chaetodon litus";0,213262657004728;0;0,159020556973025;0,707314349144592;0;0,0868565678518474
"Chaetodon lunula";0,697917528214801;0,29469701142219;0,477866941893762;0,740431512433813;0;0,730778845097487
"Chaetodon lunulatus";0,715487878851589;0,46057457069349;0,469781334960969;0,656955147542668;0;0,742353918577809
"Chaetodon madagaskariensis";0,373028626105332;0,0929665563974237;0,22966604120469;0,67231765505434;0;0,34742627140739
"Chaetodon melannotus";0,643167060437608;0,308828215581532;0,409441944590116;0,679353793497739;0;0,673562912515105
"Chaetodon mertensii";0,559848057966083;0;0,283415880359986;0,691113250338586;0;0,339339108107216
"Chaetodon meyeri";0,548364719573805;0,240315062108519;0,373881891492678;0,689104468654564;0;0,552195147060759
"Chaetodon miliaris";0,62955782286233;0,333281618505943;0,369416840835498;0,666739791327365;0,19195872000656;0,559611958912804
"Chaetodon multicinctus";0,648464290116259;0,442045517133285;0,363083185321448;0,655197076987537;0;0,49984977681141
"Chaetodon ocellatus";0,785749456957189;0,260990119689053;0,301367391794504;0,722043485609679;0,19195872000656;0,769103476549821
"Chaetodon ocellicaudus";0,28189629500638;0;0,182947185650578;0,647119820181035;0;0,445511918392609
"Chaetodon octofasciatus";0,47643429539343;0,278899669192271;0,30699593916809;0,65865391804338;0;0,549100976528085
"Chaetodon ornatissimus";0,711540319985521;0,321611444677075;0,394934304541725;0,695841303076512;0;0,699654185424904
"Chaetodon oxycephalus";0,264615155269038;0;0,174499363112394;0,642854806826065;0;0,321407493460393
"Chaetodon paucifasciatus";0,371454072744954;0,240315062108519;0,250061378028924;0,66080671263909;0;0,542673540004837
"Chaetodon pelewensis";0,682971521232887;0;0,308690110641423;0,687976279153178;0;0,392901065968302
"Chaetodon plebeius";0,634909069791778;0,321611444677075;0,285456334707094;0,686405329152511;0;0,474187492816692
"Chaetodon punctatofasciatus";0,600051552790992;0,185933112794847;0,387981336746491;0,652389690587606;0;0,441879561464813
"Chaetodon quadrimaculatus";0,644978652094315;0,0929665563974237;0,305428231086682;0,673166612993102;0;0,625338829530349
"Chaetodon rafflesii";0,540747128238135;0;0,266889438379149;0,67456728113419;0;0,449041941676737
"Chaetodon rainfordi";0,599782902895496;0,308828215581532;0,25305714979367;0,683203689429893;0;0,398234106542063
"Chaetodon reticulatus";0,69288546250146;0,0929665563974237;0,317182586537706;0,657973667346758;0,30424737289683;0,607995974962932
"Chaetodon sedentarius";0,723307118405625;0,185933112794847;0,178374801118595;0,658536460031983;0;0,689349131664523
"Chaetodon semeion";0,438878115114932;0;0,164815487553598;0,648023169171096;0;0,288531272972542
"Chaetodon semilarvatus";0,405467751387417;0,147348505711095;0,254918926615075;0,724888131479041;0;0,702449265020355
"Chaetodon speculum";0,51283046556416;0,215861659184109;0,326408820073073;0,657534964838459;0;0,523082198581088
"Chaetodon striatus";0,683451289979817;0,394915192750721;0,372513719631587;0,700026316113688;0,538896257442294;0,690874191540032
"Chaetodon triangulum";0,376110598282293;0,147348505711095;0,092278526683482;0,701040009122653;0;0,421947555926283
"Chaetodon trichrous";0,260270398315538;0,147348505711095;0,227013149247079;0,682782904087691;0;0,201674705120695
"Chaetodon tricinctus";0,498337319616297;0,215861659184109;0,190595129495895;0,627213536247998;0;0,34742627140739
"Chaetodon trifascialis";0,70043179454842;0,442045517133285;0,48989561157015;0,693686257145283;0;0,624483484641241
"Chaetodon trifasciatus";0,642366467769612;0,353956676086477;0,534837480326726;0,716582517369684;0;0,584364079463601
"Chaetodon ulietensis";0,616780761948014;0,215861659184109;0,317623578199391;0,697357111784356;0;0,541013813227911
"Chaetodon unimaculatus";0,648513280110707;0,240315062108519;0,326697642580378;0,665943279397756;0;0,570635109421837
"Chaetodon vagabundus";0,69740446841077;0,408338625400148;0,408649016960078;0,696581628791546;0;0,719239328261444
"Chaetodon xanthocephalus";0,372086647096797;0,0929665563974237;0,196276860639237;0,669313099654305;0;0,482452523484854
"Chaetodon xanthurus";0,333460090569777;0,185933112794847;0,309912656690013;0,674283450747346;0;0,434282839259237
"Chaetodon zanzibarensis";0,254815297624642;0,0929665563974237;0,207662817675479;0,70669418855536;0;0,260569703555542
