ID,SPECIES_NAME,TAXONOMIC_NAME,Level,submitted_name,valid_name_FishBase,Genus_FishBase,Family_FishBase,Class_FishBase,AphiaID,rls_EM,Comment
660,Chromis punctipinnis,Chromis punctipinnis,species,Chromis punctipinnis,Chromis punctipinnis,Chromis,Pomacentridae,Actinopterygii,273751,1,
661,Chromis randalli,Chromis randalli,species,Chromis randalli,Chromis randalli,Chromis,Pomacentridae,Actinopterygii,273752,1,
662,Chromis retrofasciata,Chromis retrofasciata,species,Chromis retrofasciata,Chromis retrofasciata,Chromis,Pomacentridae,Actinopterygii,273753,1,
663,Chromis scotochiloptera,Chromis scotochiloptera,species,Chromis scotochiloptera,Chromis scotochiloptera,Chromis,Pomacentridae,Actinopterygii,273755,1,
664,Chromis scotti,Chromis scotti,species,Chromis scotti,Chromis scotti,Chromis,Pomacentridae,Actinopterygii,273756,1,
665,Chromis sp. (acares),Chromis spp.,genus,,,,,,,,
666,Chromis spp.,Chromis spp.,genus,,,Chromis,Pomacentridae,Actinopterygii,,,
667,Chromis ternatensis,Chromis ternatensis,species,Chromis ternatensis,Chromis ternatensis,Chromis,Pomacentridae,Actinopterygii,212810,1,
668,Chromis vanderbilti,Chromis vanderbilti,species,Chromis vanderbilti,Chromis vanderbilti,Chromis,Pomacentridae,Actinopterygii,273758,1,
669,Chromis viridis,Chromis viridis,species,Chromis viridis,Chromis viridis,Chromis,Pomacentridae,Actinopterygii,212811,1,
670,Chromis weberi,Chromis weberi,species,Chromis weberi,Chromis weberi,Chromis,Pomacentridae,Actinopterygii,212817,1,
671,Chromis westaustralis,Chromis westaustralis,species,Chromis westaustralis,Chromis westaustralis,Chromis,Pomacentridae,Actinopterygii,273760,1,
672,Chromis xanthochira,Chromis xanthochira,species,Chromis xanthochira,Chromis xanthochira,Chromis,Pomacentridae,Actinopterygii,273761,1,
673,Chromis xanthopterygia,Chromis xanthopterygia,species,Chromis xanthopterygia,Chromis xanthopterygia,Chromis,Pomacentridae,Actinopterygii,273762,1,
674,Chromis xanthura,Chromis xanthura,species,Chromis xanthura,Chromis xanthura,Chromis,Pomacentridae,Actinopterygii,212819,1,
675,Chromis xutha,Chromis xutha,species,Chromis xutha,Chromis xutha,Chromis,Pomacentridae,Actinopterygii,212809,1,
676,Chrysiptera biocellata,Chrysiptera biocellata,species,Chrysiptera biocellata,Chrysiptera biocellata,Chrysiptera,Pomacentridae,Actinopterygii,218784,1,
677,Chrysiptera bleekeri,Chrysiptera bleekeri,species,Chrysiptera bleekeri,Chrysiptera bleekeri,Chrysiptera,Pomacentridae,Actinopterygii,276826,1,
678,Chrysiptera brownriggii,Chrysiptera brownriggii,species,Chrysiptera brownriggii,Chrysiptera brownriggii,Chrysiptera,Pomacentridae,Actinopterygii,276827,1,
679,Chrysiptera caesifrons,Chrysiptera caesifrons,species,Chrysiptera caesifrons,Chrysiptera caesifrons,Chrysiptera,Pomacentridae,Actinopterygii,1006880,1,
680,Chrysiptera cyanea,Chrysiptera cyanea,species,Chrysiptera cyanea,Chrysiptera cyanea,Chrysiptera,Pomacentridae,Actinopterygii,218781,1,
681,Chrysiptera flavipinnis,Chrysiptera flavipinnis,species,Chrysiptera flavipinnis,Chrysiptera flavipinnis,Chrysiptera,Pomacentridae,Actinopterygii,276830,1,
682,Chrysiptera galba,Chrysiptera galba,species,Chrysiptera galba,Chrysiptera galba,Chrysiptera,Pomacentridae,Actinopterygii,276831,1,
683,Chrysiptera glauca,Chrysiptera glauca,species,Chrysiptera glauca,Chrysiptera glauca,Chrysiptera,Pomacentridae,Actinopterygii,218783,1,
684,Chrysiptera hemicyanea,Chrysiptera hemicyanea,species,Chrysiptera hemicyanea,Chrysiptera hemicyanea,Chrysiptera,Pomacentridae,Actinopterygii,276832,1,
685,Chrysiptera notialis,Chrysiptera notialis,species,Chrysiptera notialis,Chrysiptera notialis,Chrysiptera,Pomacentridae,Actinopterygii,276835,1,
686,Chrysiptera oxycephala,Chrysiptera oxycephala,species,Chrysiptera oxycephala,Chrysiptera oxycephala,Chrysiptera,Pomacentridae,Actinopterygii,254881,1,
687,Chrysiptera parasema,Chrysiptera parasema,species,Chrysiptera parasema,Chrysiptera parasema,Chrysiptera,Pomacentridae,Actinopterygii,276836,1,
688,Chrysiptera rapanui,Chrysiptera rapanui,species,Chrysiptera rapanui,Chrysiptera rapanui,Chrysiptera,Pomacentridae,Actinopterygii,276838,1,
689,Chrysiptera rex,Chrysiptera rex,species,Chrysiptera rex,Chrysiptera rex,Chrysiptera,Pomacentridae,Actinopterygii,276839,1,
690,Chrysiptera rollandi,Chrysiptera rollandi,species,Chrysiptera rollandi,Chrysiptera rollandi,Chrysiptera,Pomacentridae,Actinopterygii,276840,1,
691,Chrysiptera spp.,Chrysiptera spp.,genus,,,Chrysiptera,Pomacentridae,Actinopterygii,,,
692,Chrysiptera springeri,Chrysiptera springeri,species,Chrysiptera springeri,Chrysiptera springeri,Chrysiptera,Pomacentridae,Actinopterygii,276843,1,
693,Chrysiptera starcki,Chrysiptera starcki,species,Chrysiptera starcki,Chrysiptera starcki,Chrysiptera,Pomacentridae,Actinopterygii,276844,1,
694,Chrysiptera talboti,Chrysiptera talboti,species,Chrysiptera talboti,Chrysiptera talboti,Chrysiptera,Pomacentridae,Actinopterygii,276845,1,
695,Chrysiptera taupou,Chrysiptera taupou,species,Chrysiptera taupou,Chrysiptera taupou,Chrysiptera,Pomacentridae,Actinopterygii,276846,1,
696,Chrysiptera traceyi,Chrysiptera traceyi,species,Chrysiptera traceyi,Chrysiptera traceyi,Chrysiptera,Pomacentridae,Actinopterygii,276847,1,
697,Chrysiptera tricincta,Chrysiptera tricincta,species,Chrysiptera tricincta,Chrysiptera tricincta,Chrysiptera,Pomacentridae,Actinopterygii,276848,1,
698,Chrysiptera unimaculata,Chrysiptera unimaculata,species,Chrysiptera unimaculata,Chrysiptera unimaculata,Chrysiptera,Pomacentridae,Actinopterygii,218782,1,
699,Chrysoblephus laticeps,Chrysoblephus laticeps,species,Chrysoblephus laticeps,Chrysoblephus laticeps,Chrysoblephus,Sparidae,Actinopterygii,218599,1,
700,Chrysophrys auratus,Chrysophrys auratus,species,Chrysophrys auratus,Pagrus auratus,Pagrus,Sparidae,Actinopterygii,398546,1,
701,Cirrhilabrus ?scottorum,Cirrhilabrus spp.,genus,,,,,,,,
702,Cirrhilabrus beauperryi,Cirrhilabrus beauperryi,species,Cirrhilabrus beauperryi,Cirrhilabrus beauperryi,Cirrhilabrus,Labridae,Actinopterygii,398566,1,
703,Cirrhilabrus cyanopleura,Cirrhilabrus cyanopleura,species,Cirrhilabrus cyanopleura,Cirrhilabrus cyanopleura,Cirrhilabrus,Labridae,Actinopterygii,277842,1,
704,Cirrhilabrus exquisitus,Cirrhilabrus exquisitus,species,Cirrhilabrus exquisitus,Cirrhilabrus exquisitus,Cirrhilabrus,Labridae,Actinopterygii,218954,1,
705,Cirrhilabrus flavidorsalis,Cirrhilabrus flavidorsalis,species,Cirrhilabrus flavidorsalis,Cirrhilabrus flavidorsalis,Cirrhilabrus,Labridae,Actinopterygii,277845,1,
706,Cirrhilabrus katherinae,Cirrhilabrus katherinae,species,Cirrhilabrus katherinae,Cirrhilabrus katherinae,Cirrhilabrus,Labridae,Actinopterygii,277849,1,
707,Cirrhilabrus laboutei,Cirrhilabrus laboutei,species,Cirrhilabrus laboutei,Cirrhilabrus laboutei,Cirrhilabrus,Labridae,Actinopterygii,277851,1,
708,Cirrhilabrus lineatus,Cirrhilabrus lineatus,species,Cirrhilabrus lineatus,Cirrhilabrus lineatus,Cirrhilabrus,Labridae,Actinopterygii,277853,1,
