generation,rank_1,rank_2,swapAccepted
1428000,1,2,1
1429000,2,3,1
1430000,2,3,1
1431000,1,3,0
1432000,2,3,1
1433000,1,2,1
1434000,1,3,1
1435000,2,3,0
1436000,2,3,1
1437000,2,3,1
1438000,1,2,1
1439000,1,3,1
1440000,2,3,1
1441000,1,3,1
1442000,1,3,1
1443000,1,3,1
1444000,2,3,0
1445000,1,3,1
1446000,1,2,1
1447000,1,3,0
1448000,1,3,0
1449000,2,3,1
1450000,2,3,1
1451000,1,2,0
1452000,2,3,1
1453000,2,3,1
1454000,1,3,0
1455000,1,3,0
1456000,2,3,0
1457000,2,3,1
1458000,1,2,0
1459000,2,3,1
1460000,2,3,1
1461000,1,3,0
1462000,2,3,1
1463000,2,3,1
1464000,2,3,1
1465000,2,3,1
1466000,1,3,0
1467000,1,2,1
1468000,1,2,1
1469000,1,3,0
1470000,1,3,0
1471000,2,3,1
1472000,1,2,0
1473000,2,3,1
1474000,1,2,1
1475000,2,3,0
1476000,1,2,1
1477000,2,3,1
1478000,1,2,1
1479000,2,3,0
1480000,1,3,1
1481000,1,3,1
1482000,1,3,1
1483000,1,2,1
1484000,1,3,0
1485000,1,2,0
1486000,1,2,0
1487000,1,3,0
